Reference, Quantity, Value,Fudge-able?, Footprint, Datasheet,MPN,Price,Total Price,Part Page
C1 C2 C3 C7 ,4,0.1uF,y,Capacitor_SMD:C_0805_2012Metric,~,CL21F104ZBCNNNC,0.1,0.4,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21F104ZBCNNNC/1276-1007-1-ND/3889093
C4 C8 ,2,1uF,y,Capacitor_SMD:C_0805_2012Metric,~,CL21B105KAFNNNE,0.11,0.22,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152
C5 C6 ,2,10pF,y,Capacitor_SMD:C_0805_2012Metric,~,C0805C220J5GACTU,0.1,0.2,https://www.digikey.com/product-detail/en/kemet/C0805C220J5GACTU/399-1113-1-ND/411388
D1 D2 ,2,LED,y,LED_SMD:LED_0805_2012Metric,~,LH R974-LP-1,0.31,0.62,https://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LH-R974-LP-1/475-1415-1-ND/1802604
J1 ,2,Conn_01x08,na,Connector_FFC-FPC:Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal,~,FH12-8S-0.5SH(55),1.49,2.98,https://www.digikey.com/product-detail/en/hirose-electric-co-ltd/FH12-8S-0.5SH-55/H124618CT-ND/5155921
P1 ,1,USB_C_Plug_USB2.0,na,Connector_USB:USB_C_Plug_Molex_105444,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,1054440001,2.66,2.66,https://www.mouser.com/ProductDetail/538-105444-0001
R2 R4 ,2,22,n,Resistor_SMD:R_0805_2012Metric,~,CRG0805F22R,0.1,0.2,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CRG0805F22R/A126352CT-ND/7603407
R3 R1 ,2,5.1k,n,Resistor_SMD:R_0805_2012Metric,~,A126379CT-ND,,0,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CRG0805F5K1/A126379CT-ND/7603434
R5 R6 ,2,1K,y,Resistor_SMD:R_0805_2012Metric,~,RNCP0805FTD1K00CT-ND,,0,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCP0805FTD1K00/RNCP0805FTD1K00CT-ND/2240568
U1 ,1,ATmega32U4-AU,na,Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf,ATMEGA32U4-AU,4.12,4.12,https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA32U4-AU/ATMEGA32U4-AU-ND/1914602
Y1 ,1,16 MHz,y,Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,https://www.hirose.com/product/p/CL0586-0744-5-55?lang=en,FA-238 16.0000MB-C3,0.36,0.36,https://www.digikey.com/product-detail/en/epson/FA-238-16.0000MB-C3/SER3686CT-ND/2403459
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,11.76,
